index,CountyId,State,County,TotalPop,Men,Women,Poverty,Professional,Service,Office,Construction,Production,MeanCommute,Unemployment
0,01001,Alabama,Autauga,55036,26899,28137,7539,18417,9391,12104,4226,8034,25.8,2861
1,01003,Alabama,Baldwin,203360,99527,103833,23996,68606,34976,49197,18641,20755,27.0,11184
2,01005,Alabama,Barbour,26201,13976,12225,7126,5738,3856,5187,2639,5531,23.4,3248
3,01007,Alabama,Bibb,22580,12251,10329,3432,5057,3648,4083,3295,4643,30.0,1851
4,01009,Alabama,Blount,57667,28490,29177,8996,15629,7074,12778,8665,10694,35.0,2825
5,01011,Alabama,Bullock,10478,5616,4862,2986,1814,1575,1713,1289,2818,29.8,1267
6,01013,Alabama,Butler,20126,9416,10710,4910,5002,3217,3440,2157,4779,23.2,1529
7,01015,Alabama,Calhoun,115527,55593,59934,21488,30119,18175,24614,10801,20148,24.8,11668
8,01017,Alabama,Chambers,33895,16320,17575,6372,7709,4283,7296,3680,8756,23.6,2169
9,01019,Alabama,Cherokee,25855,12862,12993,4162,7051,3623,4431,2913,6488,26.5,1370
10,01021,Alabama,Chilton,43805,21554,22251,8498,10340,5926,9686,6335,8582,32.5,2934
11,01023,Alabama,Choctaw,13188,6277,6911,2940,2807,1831,2617,2034,2605,32.7,1292
12,01025,Alabama,Clarke,24625,11649,12976,6230,4510,2986,5178,2860,5345,23.9,3743
13,01027,Alabama,Clay,13407,6471,6936,2560,2785,1832,2309,1618,4003,30.3,858
14,01029,Alabama,Cleburne,14939,7367,7572,2853,3539,1570,3195,2479,2988,33.2,1165
15,01031,Alabama,Coffee,51073,25225,25848,8222,15170,8305,10273,6289,8017,21.7,3064
16,01033,Alabama,Colbert,54435,26143,28292,9145,13734,7804,13176,5676,10287,23.1,3756
17,01035,Alabama,Conecuh,12649,6040,6609,3339,1719,2130,2628,1384,2963,29.6,1834
18,01037,Alabama,Coosa,10955,5474,5481,1577,1710,2254,2303,1409,2031,29.8,1237
19,01039,Alabama,Covington,37519,18133,19386,6603,9783,4791,7438,5293,6164,25.2,4014
20,01041,Alabama,Crenshaw,13866,6786,7080,2440,3426,1700,3127,1713,3024,28.6,887
21,01043,Alabama,Cullman,81703,40223,41480,13399,22550,11236,18009,10775,14315,26.5,4738
22,01045,Alabama,Dale,49393,24524,24869,9681,12480,6771,11772,6063,7125,20.7,5136
23,01047,Alabama,Dallas,40755,18809,21946,13000,9390,6401,7350,3095,8898,22.1,5583
24,01049,Alabama,DeKalb,71194,35328,35866,15306,16012,10269,14053,8377,18917,23.2,3630
25,01051,Alabama,Elmore,80989,39357,41632,10933,26126,9910,19745,8258,11036,28.0,5912
26,01053,Alabama,Escambia,37621,19326,18295,8953,7986,6883,7986,3668,5941,22.6,5154
27,01055,Alabama,Etowah,103132,49738,53394,18460,28302,17629,20774,8957,19535,24.0,7838
28,01057,Alabama,Fayette,16657,8191,8466,3014,4424,2731,2883,1647,3585,27.9,1399
29,01059,Alabama,Franklin,31507,15818,15689,7246,7057,4020,6102,3441,8301,28.4,2583
30,01061,Alabama,Geneva,26572,13008,13564,5978,5543,4187,5204,4623,4672,27.2,2364
31,01063,Alabama,Greene,8533,4058,4475,3310,1621,1308,1883,668,1788,29.7,1262
32,01065,Alabama,Hale,14995,7049,7946,3913,3654,2423,3032,1456,2661,29.9,1754
33,01067,Alabama,Henry,17110,8208,8902,2344,5236,3033,3097,1756,2841,25.6,1146
34,01069,Alabama,Houston,104108,49905,54203,19259,29916,17892,24722,9811,13756,21.3,7912
35,01071,Alabama,Jackson,52326,25712,26614,9941,12605,6230,10383,5457,13571,25.7,4029
36,01073,Alabama,Jefferson,659460,312333,347127,116064,236168,102867,153996,44433,70607,23.8,50778
37,01075,Alabama,Lamar,14021,6875,7146,3238,3719,1872,2440,1730,3151,28.1,1107
38,01077,Alabama,Lauderdale,92590,44263,48327,15092,26981,16085,21101,9166,13144,24.1,6110
39,01079,Alabama,Lawrence,33288,16164,17124,5525,7290,4757,5684,4633,8495,28.0,2396
40,01081,Alabama,Lee,156597,77172,79425,34451,60545,24513,33521,10484,18606,22.2,8926
41,01083,Alabama,Limestone,91695,45889,45806,13570,30751,13203,18314,9625,13374,25.7,6510
42,01085,Alabama,Lowndes,10362,4896,5466,3129,2116,1601,1987,1058,2438,30.3,1160
43,01087,Alabama,Macon,19358,8933,10425,5013,4866,3972,3227,1257,3244,22.5,2806
44,01089,Alabama,Madison,353213,172568,180645,48036,152908,50198,71335,21136,34676,21.3,22958
45,01091,Alabama,Marengo,19743,9235,10508,5054,5095,3030,3529,1962,3598,25.5,2527
46,01093,Alabama,Marion,30058,14880,15178,5290,7271,4658,6731,3294,6476,23.2,1653
47,01095,Alabama,Marshall,94738,46771,47967,19894,25068,13818,19576,11604,18513,23.9,6157
48,01097,Alabama,Mobile,414328,197968,216360,79965,123791,67835,97729,37942,56338,24.8,31074
49,01099,Alabama,Monroe,21745,10355,11390,7328,4893,3154,3426,2420,3154,24.7,4696
50,01101,Alabama,Montgomery,227120,107470,119650,47240,77228,39243,51415,11752,30219,20.3,17261
51,01103,Alabama,Morgan,119157,58761,60396,19780,33757,18048,26181,12143,21168,24.1,7745
