,CountyId,State,County,TotalPop
0,1001,Alabama,Autauga County,55036
1,1003,Alabama,Baldwin County,203360
2,1005,Alabama,Barbour County,26201
3,1007,Alabama,Bibb County,22580
4,1009,Alabama,Blount County,57667
5,1011,Alabama,Bullock County,10478
6,1013,Alabama,Butler County,20126
7,1015,Alabama,Calhoun County,115527
8,1017,Alabama,Chambers County,33895
9,1019,Alabama,Cherokee County,25855
10,1021,Alabama,Chilton County,43805
11,1023,Alabama,Choctaw County,13188
12,1025,Alabama,Clarke County,24625
13,1027,Alabama,Clay County,13407
14,1029,Alabama,Cleburne County,14939
15,1031,Alabama,Coffee County,51073
16,1033,Alabama,Colbert County,54435
17,1035,Alabama,Conecuh County,12649
18,1037,Alabama,Coosa County,10955
19,1039,Alabama,Covington County,37519
20,1041,Alabama,Crenshaw County,13866
21,1043,Alabama,Cullman County,81703
22,1045,Alabama,Dale County,49393
23,1047,Alabama,Dallas County,40755
24,1049,Alabama,DeKalb County,71194
25,1051,Alabama,Elmore County,80989
26,1053,Alabama,Escambia County,37621
27,1055,Alabama,Etowah County,103132
28,1057,Alabama,Fayette County,16657
29,1059,Alabama,Franklin County,31507
30,1061,Alabama,Geneva County,26572
31,1063,Alabama,Greene County,8533
32,1065,Alabama,Hale County,14995
33,1067,Alabama,Henry County,17110
34,1069,Alabama,Houston County,104108
35,1071,Alabama,Jackson County,52326
36,1073,Alabama,Jefferson County,659460
37,1075,Alabama,Lamar County,14021
38,1077,Alabama,Lauderdale County,92590
39,1079,Alabama,Lawrence County,33288
40,1081,Alabama,Lee County,156597
41,1083,Alabama,Limestone County,91695
42,1085,Alabama,Lowndes County,10362
43,1087,Alabama,Macon County,19358
44,1089,Alabama,Madison County,353213
45,1091,Alabama,Marengo County,19743
46,1093,Alabama,Marion County,30058
47,1095,Alabama,Marshall County,94738
48,1097,Alabama,Mobile County,414328
49,1099,Alabama,Monroe County,21745
50,1101,Alabama,Montgomery County,227120
51,1103,Alabama,Morgan County,119157
52,1105,Alabama,Perry County,9680
53,1107,Alabama,Pickens County,20170
54,1109,Alabama,Pike County,33287
55,1111,Alabama,Randolph County,22530
56,1113,Alabama,Russell County,58480
57,1115,Alabama,St. Clair County,86937
58,1117,Alabama,Shelby County,208721
59,1119,Alabama,Sumter County,13084
60,1121,Alabama,Talladega County,80888
61,1123,Alabama,Tallapoosa County,40756
62,1125,Alabama,Tuscaloosa County,204424
63,1127,Alabama,Walker County,64927
64,1129,Alabama,Washington County,16746
65,1131,Alabama,Wilcox County,10919
66,1133,Alabama,Winston County,23968
67,2013,Alaska,Aleutians East Borough,3338
68,2016,Alaska,Aleutians West Census Area,5784
69,2020,Alaska,Anchorage Municipality,298225
70,2050,Alaska,Bethel Census Area,17957
71,2060,Alaska,Bristol Bay Borough,917
72,2068,Alaska,Denali Borough,2303
73,2070,Alaska,Dillingham Census Area,4974
74,2090,Alaska,Fairbanks North Star Borough,100031
75,2100,Alaska,Haines Borough,2537
76,2105,Alaska,Hoonah-Angoon Census Area,2146
77,2110,Alaska,Juneau City and Borough,32434
78,2122,Alaska,Kenai Peninsula Borough,57961
79,2130,Alaska,Ketchikan Gateway Borough,13745
80,2150,Alaska,Kodiak Island Borough,13773
81,2158,Alaska,Kusilvak Census Area,8129
82,2164,Alaska,Lake and Peninsula Borough,1301
83,2170,Alaska,Matanuska-Susitna Borough,101135
84,2180,Alaska,Nome Census Area,9869
85,2185,Alaska,North Slope Borough,9757
86,2188,Alaska,Northwest Arctic Borough,7715
87,2195,Alaska,Petersburg Borough,3275
88,2198,Alaska,Prince of Wales-Hyder Census Area,6473
89,2220,Alaska,Sitka City and Borough,8810
90,2230,Alaska,Skagway Municipality,1038
91,2240,Alaska,Southeast Fairbanks Census Area,6889
92,2261,Alaska,Valdez-Cordova Census Area,9439
93,2275,Alaska,Wrangell City and Borough,2475
94,2282,Alaska,Yakutat City and Borough,682
95,2290,Alaska,Yukon-Koyukuk Census Area,5453
96,4001,Arizona,Apache County,71602
97,4003,Arizona,Cochise County,126516
98,4005,Arizona,Coconino County,138639
99,4007,Arizona,Gila County,53145
100,4009,Arizona,Graham County,37700
101,4011,Arizona,Greenlee County,9368
102,4012,Arizona,La Paz County,20477
103,4013,Arizona,Maricopa County,4155501
104,4015,Arizona,Mohave County,204691
105,4017,Arizona,Navajo County,107902
106,4019,Arizona,Pima County,1007257
107,4021,Arizona,Pinal County,405537
108,4023,Arizona,Santa Cruz County,46358
109,4025,Arizona,Yavapai County,220972
110,4027,Arizona,Yuma County,204281
111,5001,Arkansas,Arkansas County,18352
112,5003,Arkansas,Ashley County,20771
113,5005,Arkansas,Baxter County,41093
114,5007,Arkansas,Benton County,251823
115,5009,Arkansas,Boone County,37212
116,5011,Arkansas,Bradley County,10994
117,5013,Arkansas,Calhoun County,5194
118,5015,Arkansas,Carroll County,27782
119,5017,Arkansas,Chicot County,11008
120,5019,Arkansas,Clark County,22495
121,5021,Arkansas,Clay County,15190
122,5023,Arkansas,Cleburne County,25361
123,5025,Arkansas,Cleveland County,8332
124,5027,Arkansas,Columbia County,23992
125,5029,Arkansas,Conway County,20954
126,5031,Arkansas,Craighead County,104246
127,5033,Arkansas,Crawford County,62119
128,5035,Arkansas,Crittenden County,49278
129,5037,Arkansas,Cross County,17164
130,5039,Arkansas,Dallas County,7585
131,5041,Arkansas,Desha County,12094
132,5043,Arkansas,Drew County,18620
133,5045,Arkansas,Faulkner County,121282
134,5047,Arkansas,Franklin County,17803
135,5049,Arkansas,Fulton County,12092
136,5051,Arkansas,Garland County,97994
137,5053,Arkansas,Grant County,18076
138,5055,Arkansas,Greene County,44197
139,5057,Arkansas,Hempstead County,22154
140,5059,Arkansas,Hot Spring County,33480
141,5061,Arkansas,Howard County,13472
142,5063,Arkansas,Independence County,37097
143,5065,Arkansas,Izard County,13521
144,5067,Arkansas,Jackson County,17429
145,5069,Arkansas,Jefferson County,71373
146,5071,Arkansas,Johnson County,26155
147,5073,Arkansas,Lafayette County,7051
148,5075,Arkansas,Lawrence County,16777
149,5077,Arkansas,Lee County,9614
150,5079,Arkansas,Lincoln County,13885
151,5081,Arkansas,Little River County,12494
152,5083,Arkansas,Logan County,21802
153,5085,Arkansas,Lonoke County,71568
154,5087,Arkansas,Madison County,15907
155,5089,Arkansas,Marion County,16374
156,5091,Arkansas,Miller County,43760
157,5093,Arkansas,Mississippi County,43534
158,5095,Arkansas,Monroe County,7420
159,5097,Arkansas,Montgomery County,9059
160,5099,Arkansas,Nevada County,8528
161,5101,Arkansas,Newton County,7898
162,5103,Arkansas,Ouachita County,24378
163,5105,Arkansas,Perry County,10320
164,5107,Arkansas,Phillips County,19518
165,5109,Arkansas,Pike County,10893
166,5111,Arkansas,Poinsett County,24098
167,5113,Arkansas,Polk County,20212
168,5115,Arkansas,Pope County,63372
169,5117,Arkansas,Prairie County,8309
170,5119,Arkansas,Pulaski County,392848
171,5121,Arkansas,Randolph County,17514
172,5123,Arkansas,St. Francis County,26688
173,5125,Arkansas,Saline County,116252
174,5127,Arkansas,Scott County,10584
175,5129,Arkansas,Searcy County,7925
176,5131,Arkansas,Sebastian County,127362
177,5133,Arkansas,Sevier County,17206
178,5135,Arkansas,Sharp County,17041
179,5137,Arkansas,Stone County,12443
180,5139,Arkansas,Union County,40022
181,5141,Arkansas,Van Buren County,16751
182,5143,Arkansas,Washington County,223683
183,5145,Arkansas,White County,78706
