State,County,TotalPop,Men,Women,VotingAgeCitizen,Income,Poverty,Pub_Transp,WorkAtHome,MeanCommute,Unemployment,Prv_Transp,Office_Jobs,NonOffice_Jobs,Mode_Severity,Mode_Weather_Condition,Day_Accidents,Total_Acc
Oregon,Clatsop,38021,18909,19112,29388,49828,4638,304,1977,19.1,2471,35739,28048,7536,3,Scattered Clouds,1.0,3
Louisiana,West Baton Rouge,25518,12631,12887,19100,60902,4567,102,204,23.8,1454,25237,17157,6906,1,Clear,12.0,21
North Carolina,Burke,88898,43908,44990,69273,40854,17157,177,2578,21.5,8267,86231,55554,25076,1,Clear,7.0,8
Georgia,Ben Hill,17272,8259,9013,12517,32344,5250,0,103,17.5,898,17151,10004,6369,3,Scattered Clouds,1.0,3
North Carolina,Randolph,142827,70344,72483,103145,43598,23852,428,3570,23.8,8712,138685,86638,47342,2,Clear,1.0,2
North Carolina,Nash,94125,45178,48947,70526,46187,14965,376,2823,21.9,7435,90924,62676,24013,1,Clear,6.0,7
North Carolina,Northampton,20426,9944,10482,16406,33508,5188,0,551,25.6,2083,19874,12876,5502,1,Clear,3.0,3
Iowa,Jefferson,17945,9511,8434,12816,44516,2727,0,1776,14.8,1202,16150,12624,4118,1,Overcast,4.0,4
Washington,Wahkiakum,4105,1985,2120,3349,49508,570,135,324,24.6,258,3645,2531,1311,2,Light Rain,2.0,2
Michigan,Calhoun,134327,65652,68675,100589,46213,23372,940,4298,20.2,9940,128953,87070,37316,1,Overcast,18.0,25
Texas,Palo Pinto,28109,13904,14205,20418,45067,5143,140,1264,23.5,2220,26703,17164,8698,3,Haze,1.0,1
North Carolina,Wilson,81379,38532,42847,58699,42095,16764,81,1383,20.7,6591,79914,53099,21763,1,Clear,1.0,2
Iowa,Hardin,17239,8634,8605,13212,52207,1379,17,655,17.9,430,16566,11581,5210,3,Light Snow,1.0,1
California,Santa Cruz,273263,135654,137609,189870,73663,40169,7651,20494,26.8,18308,245116,206003,48696,1,Overcast,97.0,124
Kentucky,Carter,27385,13462,13923,21136,35095,5887,54,712,30.3,2738,26618,17499,7147,3,Scattered Clouds,1.0,1
New York,Orange,378174,189437,188737,264798,75146,46137,20421,19286,33.4,21177,338465,286668,69971,1,Clear,41.0,69
Ohio,Mercer,40723,20484,20239,30047,57052,3013,122,936,17.5,1588,39664,23481,15654,3,Clear,2.0,4
Georgia,Morgan,18013,8558,9455,13731,59572,2413,18,1278,25.9,1026,16716,11687,5316,3,Clear,19.0,22
Kansas,Shawnee,178392,86487,91905,130844,54667,23547,1605,5173,18.0,9633,171613,132644,36283,2,Clear,14.0,14
Alabama,Lauderdale,92590,44263,48327,72887,44888,15092,185,1666,24.1,6110,90830,64168,22311,3,Scattered Clouds,2.0,2
New York,Saratoga,226632,111991,114641,174237,77548,14957,1813,13371,25.3,10425,211447,180749,35457,1,Clear,57.0,84
Mississippi,Pike,39763,18890,20873,28914,30949,12843,159,556,24.4,3061,39087,24223,12441,3,Partly Cloudy,1.0,1
Tennessee,Fayette,39336,19329,20007,30999,57919,5664,0,1691,33.1,3107,37605,26012,10216,1,Light Rain,1.0,1
Pennsylvania,Wayne,51656,27404,24252,42291,52161,5733,568,3202,29.6,3357,47885,34726,13572,1,Mostly Cloudy,1.0,5
Wyoming,Carbon,15689,8456,7233,11330,57644,2086,62,643,16.3,533,14982,10109,5046,3,Clear,8.0,12
Tennessee,Campbell,39824,19411,20413,31601,35377,8203,39,915,27.1,3185,38908,23668,12970,1,Clear,12.0,15
Virginia,Franklin,56277,27631,28646,44696,51208,8328,281,3601,30.2,3038,52393,38438,14747,1,Mostly Cloudy,7.0,8
Idaho,Oneida,4284,2136,2148,2965,43491,539,0,171,24.6,231,4116,2508,1544,2,Fair,1.0,1
Pennsylvania,Bradford,61546,30348,31198,47743,50900,7508,123,2708,22.5,3446,58714,37416,20625,3,Overcast,3.0,4
California,Inyo,18195,9172,9023,13620,51500,1855,236,818,16.9,946,17157,13264,4001,2,Clear,2.0,5
Tennessee,Madison,97887,46449,51438,74356,44496,19871,880,2838,18.6,6068,94167,70884,20934,3,Clear,7.0,9
Tennessee,Jackson,11573,5827,5746,9372,33933,2580,0,243,32.0,1076,11329,6539,3946,3,Overcast,2.0,2
Indiana,Montgomery,38288,19432,18856,28672,53075,3905,153,995,21.9,1684,37139,22914,13726,3,Clear,5.0,13
Minnesota,Benton,39360,19652,19708,28857,53574,5549,511,1613,23.1,1653,37273,26847,10859,3,Haze,1.0,1
Rhode Island,Newport,83204,40952,42252,65688,75463,7488,1580,5241,22.5,4493,76381,66904,11806,2,Clear,3.0,3
Virginia,Henry,51956,25038,26918,40672,36779,9975,311,1194,23.6,4520,50449,33015,14420,3,Clear,11.0,19
Alabama,Coosa,10955,5474,5481,8989,34792,1577,65,460,29.8,1237,10429,6268,3440,2,Clear,1.0,1
Ohio,Fairfield,151526,75440,76086,112986,63424,15001,606,5909,28.3,7727,145161,113026,30772,3,Clear,28.0,42
Oregon,Lincoln,47307,22779,24528,37758,43291,8704,614,3216,18.9,3074,43475,35076,9156,1,Clear,4.0,4
North Carolina,Polk,20434,9782,10652,16565,48412,2227,163,980,25.7,1287,19289,15011,4154,1,Clear,4.0,4
Vermont,Chittenden,160985,78928,82057,125467,66906,18191,4185,8693,21.1,6600,147945,130918,23312,1,Light Snow,7.0,9
Minnesota,Anoka,344861,172482,172379,251328,76796,22760,11725,15518,28.1,14484,317272,253399,76647,1,Overcast,64.0,90
Indiana,Jackson,43779,21861,21918,31621,49080,6829,175,831,20.5,2714,42772,27226,13838,3,Overcast,9.0,12
Texas,Chambers,39283,19679,19604,25703,74368,5067,78,824,27.8,2553,38379,23984,12745,3,Overcast,4.0,4
Illinois,Will,687727,341719,346008,472786,80782,50891,26133,28884,32.9,41263,632708,501009,146100,1,Clear,73.0,93
Missouri,Washington,24968,12855,12113,19149,37810,5043,124,823,33.3,2471,24019,13858,8661,2,Overcast,1.0,1
Tennessee,Hickman,24502,12830,11672,18999,39333,4826,73,1078,36.3,1519,23350,14433,8572,1,Overcast,4.0,4
Virginia,Albemarle,105105,50283,54822,78224,72265,10300,1891,7987,21.9,3363,95330,89736,12005,1,Clear,32.0,40
Louisiana,Pointe Coupee,22271,10692,11579,16980,43964,3897,200,601,29.1,1848,21491,14357,6045,3,Scattered Clouds,1.0,2
Tennessee,Rutherford,298456,147195,151261,212507,62149,35217,895,11639,28.5,15221,286219,216391,66843,1,Clear,49.0,69
Texas,Bastrop,80306,40845,39461,53287,59185,10680,160,3131,34.4,6183,77013,52775,21347,3,Clear,5.0,6
California,Mendocino,87497,43668,43829,61818,46528,16711,262,7087,19.8,9099,80147,60444,17953,1,Clear,7.0,10
Connecticut,New Haven,862127,415863,446264,636398,64872,104317,35347,36209,24.9,66383,790570,656488,138459,1,Clear,240.0,313
Colorado,Montrose,40908,20182,20726,30265,44865,7281,122,1922,17.8,3272,38821,27399,10236,1,Clear,1.0,1
Louisiana,Ascension,119129,58718,60411,84202,74748,13938,119,4288,30.0,7505,114840,84610,26901,1,Fair,14.0,19
Virginia,Shenandoah,42854,20850,22004,32507,53934,4413,128,1885,31.0,2228,40797,28397,12228,1,Clear,20.0,22
Texas,La Salle,7418,4347,3071,5387,44601,608,0,237,19.5,400,7173,4470,2554,3,Mostly Cloudy,5.0,7
Colorado,El Paso,674826,340118,334708,486507,62535,74905,5398,42514,23.0,45888,625563,522647,105661,1,Clear,125.0,146
Virginia,Greensville,11606,7238,4368,9459,42121,1973,81,104,22.9,661,11431,7595,3338,1,Clear,1.0,3
Minnesota,Hennepin,1224763,604629,620134,877093,71154,140847,90632,68586,23.4,56339,1064319,1009518,158905,1,Clear,705.0,950
Mississippi,Hancock,46277,22527,23750,35715,47518,7959,92,1203,29.0,4026,44981,32026,10266,1,Clear,3.0,4
Colorado,Eagle,53726,28560,25166,34723,83803,4136,2901,4781,22.3,1450,45935,41873,10455,3,Light Snow,28.0,47
New Jersey,Cape May,94549,46158,48391,75563,62332,10022,1985,4254,22.9,7942,88214,71104,15416,1,Clear,14.0,24
Colorado,Rio Blanco,6557,3325,3232,4863,57991,773,72,458,17.3,413,6025,3846,2304,1,Clear,7.0,7
Montana,Missoula,114231,57590,56641,90740,49412,18162,2398,6739,18.1,6853,105092,88908,18469,1,Light Snow,3.0,4
Florida,Pinellas,949842,456017,493825,746969,48968,130128,17097,63639,24.4,60789,869105,747693,140470,1,Clear,341.0,396
Pennsylvania,Bedford,48891,24404,24487,38863,48703,6649,195,2248,27.2,2884,46397,29996,16010,3,Clear,13.0,15
California,San Francisco,864263,440633,423630,641255,96265,101118,293849,57905,32.8,46670,512507,744009,73583,1,Partly Cloudy,286.0,361
Alabama,Tuscaloosa,204424,98725,105699,156404,50513,35365,1022,6337,22.3,13696,197473,141520,49398,1,Mostly Cloudy,13.0,14
Iowa,Hamilton,15201,7433,7768,11467,55836,1428,0,805,18.4,349,14410,10218,4618,1,Light Freezing Rain,7.0,7
Indiana,Hamilton,309687,151395,158292,212065,90582,15484,619,24465,25.5,10219,284602,266825,32941,1,Clear,48.0,61
Washington,Island,80323,40020,40303,63369,61516,7630,2088,5702,27.8,5381,72611,56806,18135,1,Mostly Cloudy,13.0,13
Mississippi,Montgomery,10309,4769,5540,7849,34983,2639,0,247,27.1,938,10051,6362,2998,3,Overcast,1.0,1
Florida,Duval,912043,442115,469928,666437,51296,145926,17328,43778,24.5,67491,851848,692532,152863,1,Mostly Cloudy,421.0,565
Pennsylvania,Schuylkill,144287,73691,70596,114513,47642,18035,1010,3751,25.7,9955,139525,89599,44732,1,Clear,10.0,10
Kentucky,Boone,127682,63122,64560,90254,72731,9703,1021,5618,24.0,6256,120914,97626,23678,1,Mostly Cloudy,29.0,32
Wisconsin,Clark,34513,17507,17006,23756,49131,4555,0,3968,21.1,1138,30578,19924,13450,3,Clear,4.0,7
Minnesota,Kandiyohi,42577,21398,21179,30521,56604,4811,340,1788,17.9,1277,40448,29446,11853,1,Clear,5.0,11
Virginia,Cumberland,9797,4830,4967,7791,43020,2135,19,480,40.7,685,9297,6269,2842,1,Mostly Cloudy,1.0,1
Kentucky,Whitley,36027,17686,18341,27075,34103,9078,216,720,20.6,3314,35090,24371,8341,1,Mostly Cloudy,1.0,1
Colorado,Mineral,834,433,401,752,50385,100,9,99,14.0,13,726,646,174,3,Clear,5.0,6
Oklahoma,Osage,47350,23748,23602,36217,47683,7433,236,1278,24.4,2888,45834,31701,12805,1,Mostly Cloudy,2.0,2
Georgia,Jackson,63851,31539,32312,45830,57999,7981,127,2745,30.8,4150,60977,43701,15999,1,Clear,15.0,25
Georgia,Bacon,11279,5599,5680,7903,38824,2616,135,236,20.4,349,10918,7115,3803,1,Overcast,3.0,3
Maine,Somerset,50994,25180,25814,40507,41549,9076,50,2141,24.4,4487,48852,31950,14603,1,Clear,3.0,5
Idaho,Payette,22839,11451,11388,15793,48447,3540,22,685,19.1,1393,22108,14132,7313,3,Clear,6.0,6
Illinois,Effingham,34164,17021,17143,25756,54655,3860,170,1161,17.3,1503,32865,22862,9798,3,Clear,3.0,3
